people_ID,infect_prob_20
5942,0.52054685
18664,0.5268538
5603,0.51603526
5649,0.51730675
5099,0.5221935
18749,0.51988226
5228,0.5175766
5559,0.5237887
5220,0.52288586
5476,0.5228438
5260,0.5158994
17638,0.52428526
18635,0.5201762
18794,0.63558406
5263,0.5178424
17680,0.64078844
18030,0.52235174
18090,0.5198023
18455,0.51907873
18155,0.518634
18116,0.62133265
18144,0.5160162
5218,0.6364246
5386,0.5202935
18105,0.55684507
5735,0.5183153
5900,0.5241979
18391,0.51703924
5786,0.5198367
18639,0.52304584
17984,0.5229747
18274,0.51362425
5425,0.5220535
6076,0.5167244
18545,0.5252014
17697,0.6352843
6137,0.51913065
6083,0.5199019
17730,0.5242821
5896,0.64330274
18906,0.52425945
17808,0.5226966
6078,0.52355987
5516,0.51366997
18093,0.519934
6120,0.5222088
18154,0.5222171
17935,0.5183702
18769,0.6460289
18264,0.5220711
18076,0.50772095
18035,0.5218087
18051,0.51949996
18676,0.5219182
5332,0.51872706
5898,0.59711325
18370,0.52230453
17706,0.5174514
5198,0.5201338
18360,0.52180475
18240,0.5242243
18691,0.5222239
5768,0.5230488
18315,0.51981676
18776,0.52280116
6225,0.5206709
17983,0.63005996
17973,0.52573
5805,0.61007565
5500,0.5226127
5305,0.5198724
18243,0.5243819
5169,0.5218606
5258,0.52266407
17810,0.63767487
5714,0.5205815
6070,0.5265462
5959,0.6390611
18771,0.522051
17765,0.51828533
18822,0.51991034
17735,0.6230877
17966,0.52436763
18861,0.5259053
18236,0.51740617
18750,0.6390344
17809,0.62313396
6049,0.51746285
18465,0.51497996
6201,0.5221638
18877,0.5196515
5087,0.52325964
17742,0.52037174
17941,0.6103332
18421,0.5230121
18489,0.5244826
6299,0.64740825
18428,0.5155765
5563,0.62481904
18796,0.6268564
5849,0.516913
5661,0.51809466
5893,0.5211048
5378,0.6291969
5622,0.51579005
5823,0.51612115
18521,0.5138984
5502,0.5178306
18785,0.51780915
17783,0.5197351
18424,0.620076
18147,0.5255104
18881,0.6107944
18851,0.52235717
17686,0.52140945
5100,0.52279586
5213,0.5185637
18252,0.51650584
5576,0.52054256
18050,0.52084917
5875,0.5157211
6059,0.5186054
18599,0.51833683
5173,0.5183038
5461,0.52132124
5151,0.63117975
5266,0.52106744
5514,0.63399494
5224,0.52153915
18069,0.5195807
5587,0.5168456
17874,0.51921016
5536,0.520759
5215,0.52220255
5400,0.64406776
17857,0.5231072
6043,0.6180124
18330,0.5166717
18333,0.5181362
17788,0.5165801
18332,0.6278189
17836,0.5243276
5247,0.5184439
5922,0.5155744
18641,0.6365869
5951,0.6434332
18807,0.5200643
18293,0.62752163
18775,0.52470946
5601,0.5178985
5102,0.5212962
18464,0.5195567
17713,0.5240552
18557,0.52178925
18854,0.518847
18401,0.5156756
18699,0.644406
5706,0.62315464
5747,0.5193381
5496,0.51700824
18308,0.5240592
5345,0.62764615
18525,0.5145319
18258,0.6350264
6062,0.5163062
17921,0.5192769
5303,0.5119702
18592,0.5139482
5814,0.51480824
18805,0.52169234
5910,0.5163813
5201,0.52356106
5724,0.64406776
17693,0.52234113
5407,0.517768
18617,0.5175205
18173,0.5186413
18875,0.5177809
5225,0.5166179
5858,0.52267325
5091,0.5215596
5254,0.52400875
18801,0.51705813
6009,0.5174461
18149,0.51629555
6105,0.5214094
5974,0.51945704
17967,0.6381117
5781,0.52158946
5834,0.5168322
17683,0.5144888
5338,0.5168843
18400,0.63078225
18633,0.5181663
6162,0.5148259
18598,0.5185963
5212,0.5182004
18731,0.5184713
18177,0.52059597
5232,0.5581911
5753,0.5229307
5118,0.52005595
18055,0.63426995
18151,0.6390844
5572,0.5212014
18502,0.5233616
18178,0.52264994
6276,0.5196534
5226,0.6337717
18411,0.5166096
6134,0.51666003
5177,0.51700777
18031,0.5179717
17853,0.5184362
6171,0.51494056
5725,0.63621044
6282,0.51580787
18762,0.51491785
17909,0.51684916
18357,0.51645917
5981,0.5161836
5862,0.51817423
18461,0.51172966
5275,0.516959
6084,0.5108603
18403,0.5135389
17856,0.5210122
17723,0.515922
6103,0.52114373
17897,0.51332897
6042,0.5218043
6219,0.6144449
5697,0.62468
18636,0.62445223
5343,0.51828736
5994,0.5214502
5956,0.62493
5666,0.5177549
18791,0.51629907
